X,Y,Full Name,City,State,Zip Code,County,Manually adjusted?
-97.5164276,35.4675602,"Oklahoma City, OK",Oklahoma City,OK,73101,OKLAHOMA,0
-97.7464345,35.6419951,"Piedmont, OK",Piedmont,OK,73078,CANADIAN,0
-98.3078258,34.3598075,"Walters, OK",Walters,OK,73572,COTTON,0
-123.1059282,44.6365107,"Albany, OR",Albany,OR,97321,LINN,0
-122.7094767,42.1945758,"Ashland, OR",Ashland,OR,97520,JACKSON,0
-124.408448,43.1189978,"Bandon, OR",Bandon,OR,97411,COOS,0
-121.3153096,44.0581728,"Bend, OR",Bend,OR,97701,DESCHUTES,0
-124.2839819,42.0526114,"Brookings, OR",Brookings,OR,97415,CURRY,0
-123.6739646,43.0333629,"Camas Valley, OR",Camas Valley,OR,97416,DOUGLAS,0
-122.9164307,42.3759586,"Central Point, OR",Central Point,OR,97502,JACKSON,0
-124.2178903,43.3665007,"Coos Bay, OR",Coos Bay,OR,97420,COOS,0
-124.1876075,43.1770544,"Coquille, OR",Coquille,OR,97423,COOS,0
-122.8228506,43.915959,"Dexter, OR",Dexter,OR,97431,LANE,0
-122.8028177,42.4726258,"Eagle Point, OR",Eagle Point,OR,97524,JACKSON,0
-123.0867536,44.0520691,"Eugene, OR",Eugene,OR,97401,LANE,0
-123.3283925,42.4390069,"Grants Pass, OR",Grants Pass,OR,97526,JOSEPHINE,0
-123.4025633,42.5845614,"Hugo, OR",Hugo,OR,97526,JOSEPHINE,1
-121.7816704,42.224867,"Klamath Falls, OR",Klamath Falls,OR,97601,KLAMATH,0
-121.503636,43.6703995,"La Pine, OR",La Pine,OR,97739,DESCHUTES,0
-123.1121766,45.2434865,"Lafayette, OR",Lafayette,OR,97127,YAMHILL,0
-120.345792,42.1887721,"Lakeview, OR",Lakeview,OR,97630,LAKE,0
-122.9070339,44.5365119,"Lebanon, OR",Lebanon,OR,97355,LINN,0
-123.1987163,45.2101162,"McMinnville, OR",McMinnville,OR,97128,YAMHILL,0
-122.8755949,42.3265152,"Medford, OR",Medford,OR,97501,JACKSON,0
-116.9948804,43.8768289,"Nyssa, OR",Nyssa,OR,97913,MALHEUR,0
-116.9629378,44.0265525,"Ontario, OR",Ontario,OR,97914,MALHEUR,0
-122.6587185,45.5122308,"Portland, OR",Portland,OR,97201,MULTNOMAH,0
-121.1739212,44.2726203,"Redmond, OR",Redmond,OR,97756,DESCHUTES,0
-123.1719976,42.435954,"Rogue River, OR",Rogue River,OR,97537,JACKSON,0
-123.3417381,43.216505,"Roseburg, OR",Roseburg,OR,97470,DOUGLAS,0
-123.0350963,44.9428975,"Salem, OR",Salem,OR,97301,MARION,0
-123.9226385,45.9931636,"Seaside, OR",Seaside,OR,97138,CLATSOP,0
-123.0220289,44.0462362,"Springfield, OR",Springfield,OR,97477,LANE,0
-75.2207323,40.688432,"Easton, PA",Easton,PA,18040,NORTHAMPTON,0
-71.4161671,41.7001009,"Warwick, RI",Warwick,RI,2886,KENT,0
-103.2310149,44.0805434,"Rapid City, SD",Rapid City,SD,57701,PENNINGTON,0
-96.728333,43.5473028,"Sioux Falls, SD",Sioux Falls,SD,57101,MINNEHAHA,0
-81.2264646,35.1112478,"Clover, SC",Clover,SC,29710,YORK,0
-81.2362107,33.9815369,"Lexington, SC",Lexington,SC,29071,LEXINGTON,0
-82.3534727,36.3134397,"Johnson City, TN",Johnson City,TN,37601,WASHINGTON,0
-86.7816016,36.1626638,"Nashville, TN",Nashville,TN,37201,DAVIDSON,0
-96.6705503,33.1031744,"Allen, TX",Allen,TX,75002,COLLIN,0
-95.0854885,30.34132,"Cleveland, TX",Cleveland,TX,77327,LIBERTY,0
-96.7969879,32.7766642,"Dallas, TX",Dallas,TX,75201,DALLAS,0
-106.4901505,31.7567482,"El Paso, TX",El Paso,TX,79901,EL PASO,0
-94.7993802,32.1532156,"Henderson, TX",Henderson,TX,75652,RUSK,0
-97.7277959,31.1171194,"Killeen, TX",Killeen,TX,76540,BELL,0
-96.6397822,33.1972465,"McKinney, TX",McKinney,TX,75069,COLLIN,0
-98.4936282,29.4241219,"San Antonio, TX",San Antonio,TX,78201,BEXAR,0
-95.4171601,30.0799405,"Spring, TX",Spring,TX,77373,HARRIS,0
-95.6349463,29.6196787,"Sugar Land, TX",Sugar Land,TX,77478,FORT BEND,0
-96.2752569,32.7359626,"Terrell, TX",Terrell,TX,75160,KAUFMAN,0
-95.3010624,32.3512601,"Tyler, TX",Tyler,TX,75701,SMITH,0
-102.498757,31.8423472,"West Odessa, TX",West Odessa,TX,79763,ECTOR,1
-112.0260538,41.1107771,"Clearfield, UT",Clearfield,UT,84015,DAVIS,0
-111.9710529,41.0602216,"Layton, UT",Layton,UT,84040,DAVIS,0
-111.8999353,40.6110589,"Midvale, UT",Midvale,UT,84047,SALT LAKE,0
-109.5498395,38.5733155,"Moab, UT",Moab,UT,84532,GRAND,0
-111.9738304,41.223,"Ogden, UT",Ogden,UT,84201,WEBER,0
-111.8910474,40.7607793,"Salt Lake City, UT",Salt Lake City,UT,84101,SALT LAKE,0
-111.9391031,40.6096698,"West Jordan, UT",West Jordan,UT,84047,SALT LAKE,1
-76.4730122,37.0870821,"Newport News, VA",Newport News,VA,23601,NEWPORT NEWS CITY,0
-77.4360481,37.5407246,"Richmond, VA",Richmond,VA,23218,RICHMOND CITY,0
-77.4083086,38.4220687,"Stafford, VA",Stafford,VA,22554,STAFFORD,0
-119.5536491,47.3176385,"Ephrata, WA",Ephrata,WA,98823,GRANT,0
-122.2020795,47.9789848,"Everett, WA",Everett,WA,98201,SNOHOMISH,0
-119.119948,46.2086683,"Kennewick, WA",Kennewick,WA,99336,BENTON,0
-122.9381672,46.1381676,"Longview, WA",Longview,WA,98632,COWLITZ,0
-122.3320708,47.6062095,"Seattle, WA",Seattle,WA,98101,KING,0
-117.4260465,47.6587802,"Spokane, WA",Spokane,WA,99201,SPOKANE,0
-89.683459,45.1805223,"Merrill, WI",Merrill,WI,54452,LINCOLN,0
-109.0565308,44.5263422,"Cody, WY",Cody,WY,82414,PARK,0
-109.6304335,43.533565,"Dubois, WY",Dubois,WY,82513,FREMONT,0
-110.7624282,43.4799291,"Jackson, WY",Jackson,WY,83001,TETON,0
-108.7573525,44.7538408,"Powell, WY",Powell,WY,82435,PARK,0
-108.2120432,43.6460672,"Thermopolis, WY",Thermopolis,WY,82443,HOT SPRINGS,0
